Symbol,Stock_Name,LOT_SIZE
SJVN,SJVNSJVN LIMITED,4725
SOLARINDS,SOLARINDSSolar Industries India Limited,75
SONACOMS,SONACOMSSona BLW Precision Forgings Limited,775
SRF,SRFSRF Ltd.,375
SUNPHARMA,SUNPHARMASun Pharmaceutical Industries Ltd.,350
SUPREMEIND,SUPREMEINDSupreme Industries Ltd.,125
SYNGENE,SYNGENESyngene International Limited,1000
TATACHEM,TATACHEMTata Chemicals Ltd,550
TATACOMM,TATACOMMTata Communications Limited,250
TATACONSUM,TATACONSUMTATA CONSUMER PRODUCTS LIMITED,456
TATAELXSI,TATAELXSITata Elxsi Ltd,100
TATAMOTORS,TATAMOTORSTata Motors Ltd.,550
TATAPOWER,TATAPOWERTata Power Co. Ltd,1350
TATASTEEL,TATASTEELTATA STEEL LIMITED,5500
TATATECH,TATATECHTata Technologies Limited,700
TCS,TCSTata Consultancy Services Ltd.,175
TECHM,TECHMTech Mahindra Limited,600
TIINDIA,TIINDIATube Investments of India Ltd,150
TITAGARH,TITAGARHTITAGARH RAIL SYSTEMS LIMITED,625
TITAN,TITANTitan Company Limited,175
TORNTPHARM,TORNTPHARMTorrent Pharmaceuticals Ltd.,250
TORNTPOWER,TORNTPOWERTORRENT POWER LIMITED,375
TRENT,TRENTTrent Ltd [Lakme Ltd],100
TVSMOTOR,TVSMOTORTVS Motor Company Ltd.,350
ULTRACEMCO,ULTRACEMCOUltraTech Cement Ltd,50
UNIONBANK,UNIONBANKUnion Bank of India,4425
UNITDSPR,UNITDSPRUnited Spirits Limited,350
UPL,UPLUPL Limited,1355
VBL,VBLVarun Beverages Limited,875
VEDL,VEDLVedanta Limited,1150
VOLTAS,VOLTASVoltas Ltd.,300
WIPRO,WIPROWipro Ltd.,3000
YESBANK,YESBANKYes Bank Ltd.,26000
ZOMATO,ZOMATOZomato Limited,2000
ZYDUSLIFE,ZYDUSLIFEZydus Lifesciences Limited,900
